Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Peris y Valero - Luis Santángel;37;T;0;20;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3664406250017559, 39.460937800028375], ""type"": ""Point""}";39.460937800028375, -0.3664406250017559;2025-11-19T13:26:43+01:00
Autopista del Saler - Puente Monteolivete;47;T;10;9;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.35541832880362817, 39.45651226440267], ""type"": ""Point""}";39.45651226440267, -0.35541832880362817;2025-11-19T13:20:33+01:00
Av. de la Plata (Museo Fallero);42;T;6;14;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3586583378805894, 39.45878127329601], ""type"": ""Point""}";39.45878127329601, -0.3586583378805894;2025-11-19T13:24:29+01:00
Autopista del Saler - Antonio Ferrandis (C.C. El Saler);50;T;14;26;40;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3528593228128155, 39.453318252515686], ""type"": ""Point""}";39.453318252515686, -0.3528593228128155;2025-11-19T13:28:36+01:00
Francia - Menorca;56;T;7;7;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3444052893928658, 39.45842126509135], ""type"": ""Point""}";39.45842126509135, -0.3444052893928658;2025-11-19T13:26:52+01:00
República Argentina - Campoamor;75;T;8;17;25;F;19/11/2025 12:29:32;"{""coordinates"": [-0.35170130420295115, 39.472113313853896], ""type"": ""Point""}";39.472113313853896, -0.35170130420295115;2025-11-19T13:28:36+01:00
Molinell - Calderón de la Barca;77;T;2;18;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.36566734195835493, 39.48497336307338], ""type"": ""Point""}";39.48497336307338, -0.36566734195835493;2025-11-19T13:28:28+01:00
Barcas, 11;40;T;17;9;26;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3748243837183276, 39.470466319701956], ""type"": ""Point""}";39.470466319701956, -0.3748243837183276;2025-11-19T13:27:54+01:00
Blasco Ibañez - Aragón;92;T;4;16;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.35596831583559707, 39.47586032883543], ""type"": ""Point""}";39.47586032883543, -0.35596831583559707;2025-11-19T13:27:39+01:00
Luís Peixó 20;108;T;5;10;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3339152679031098, 39.47382619077011], ""type"": ""Point""}";39.47382619077011, -0.3339152679031098;2025-11-19T13:26:06+01:00
UPV Trinquet;110;T;28;2;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.33668024623462534, 39.48074033571707], ""type"": ""Point""}";39.48074033571707, -0.33668024623462534;2025-11-19T13:28:06+01:00
UPV Informática;114;T;19;9;30;F;19/11/2025 12:29:32;"{""coordinates"": [-0.346591279156021, 39.4818043438759], ""type"": ""Point""}";39.4818043438759, -0.346591279156021;2025-11-19T13:28:30+01:00
Av. del Cid - Julián Peña;200;T;2;13;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3932144497376184, 39.467737319045916], ""type"": ""Point""}";39.467737319045916, -0.3932144497376184;2025-11-19T13:28:37+01:00
Ángel Villena - Ausias March;187;T;9;6;15;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3688183809361798, 39.447960241518516], ""type"": ""Point""}";39.447960241518516, -0.3688183809361798;2025-11-19T13:25:39+01:00
Uruguay - Carteros;193;T;2;18;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.386718436578698, 39.45514627443484], ""type"": ""Point""}";39.45514627443484, -0.386718436578698;2025-11-19T13:23:16+01:00
Naranjos - Ingeniero Fausto Elio;109;T;17;2;20;F;19/11/2025 12:29:32;"{""coordinates"": [-0.3335102388084858, 39.4768193210939], ""type"": ""Point""}";39.4768193210939, -0.3335102388084858;2025-11-19T13:27:29+01:00
